stream_index,window_id,ts,detector,prev_error,new_error,triggered_retrain,reason,n_detections,model,policy
104,287,2017-07-06T18:14:45.755478,ADWIN,0.018902217375499818,0.022418478260869564,False,refractory period,2,gnn_ewc_replay,adwin
105,288,2017-07-06T18:18:04.892579,ADWIN,0.022778025904421618,0.023689516129032258,False,refractory period,3,gnn_ewc_replay,adwin
107,291,2017-07-06T18:22:53.483056,ADWIN,0.013503909026297086,0.07589285714285714,True,error increased,5,gnn_ewc_replay,adwin
108,293,2017-07-06T18:27:47.326584,ADWIN,0.019953441968739608,0.009510869565217392,False,error decreased,1,gnn_ewc_replay,adwin
110,295,2017-07-06T18:31:05.480703,ADWIN,0.0019656019656019656,0.003472222222222222,False,refractory period,2,gnn_ewc_replay,adwin
111,297,2017-07-06T18:33:53.760513,ADWIN,0.021023513139695714,0.023518041237113402,False,refractory period,2,gnn_ewc_replay,adwin
112,298,2017-07-06T18:37:22.766188,ADWIN,0.002948982601002654,0.006696428571428571,True,error increased,2,gnn_ewc_replay,adwin
128,321,2017-07-07T13:06:05.779821,ADWIN,0.0004014502389883454,0.0005811874105865522,True,error increased,1,gnn_ewc_replay,adwin
131,325,2017-07-07T13:25:25.836703,ADWIN,0.00449247997916531,0.0050048828125,False,refractory period,1,gnn_ewc_replay,adwin
132,326,2017-07-07T13:28:50.168559,ADWIN,0.011515525395846186,0.016183035714285716,False,refractory period,1,gnn_ewc_replay,adwin
133,328,2017-07-07T13:36:33.599736,ADWIN,0.020689655172413793,0.02403846153846154,True,error increased,4,gnn_ewc_replay,adwin
134,329,2017-07-07T13:44:33.114918,ADWIN,0.10182767624020887,0.121875,False,refractory period,4,gnn_ewc_replay,adwin
136,332,2017-07-07T14:10:48.127689,ADWIN,0.002934047710167113,0.0010269953051643193,False,error decreased,1,gnn_ewc_replay,adwin
146,347,2017-07-07T16:50:49.419521,ADWIN,0.0004798925040790863,0.15178571428571427,True,error increased,4,gnn_ewc_replay,adwin
147,348,2017-07-07T16:59:16.787988,ADWIN,0.02481121898597627,0.05803571428571429,False,refractory period,2,gnn_ewc_replay,adwin
148,350,2017-07-07T17:13:57.348088,ADWIN,0.0027506876719179795,0.010775862068965518,False,refractory period,4,gnn_ewc_replay,adwin
151,354,2017-07-07T17:45:17.899612,ADWIN,0.001828841912753483,0.08854166666666667,True,error increased,1,gnn_ewc_replay,adwin
152,355,2017-07-07T17:51:45.466435,ADWIN,0.9866004962779157,0.8515625,False,error decreased,1,gnn_ewc_replay,adwin
154,358,2017-07-07T17:52:06.020133,ADWIN,0.9954359093370465,0.625,False,error decreased,1,gnn_ewc_replay,adwin
155,360,2017-07-07T17:52:19.730775,ADWIN,0.9920595533498759,0.9864130434782609,False,error decreased,3,gnn_ewc_replay,adwin
157,362,2017-07-07T17:52:33.458646,ADWIN,0.9943273038638553,0.953125,False,error decreased,1,gnn_ewc_replay,adwin
159,365,2017-07-07T17:52:54.036328,ADWIN,0.9915261958997722,0.421875,False,error decreased,2,gnn_ewc_replay,adwin
160,367,2017-07-07T17:54:15.198356,ADWIN,0.9547038327526133,1.0,True,error increased,8,gnn_ewc_replay,adwin
161,368,2017-07-07T17:54:21.743673,ADWIN,0.84251968503937,0.671875,False,error decreased,1,gnn_ewc_replay,adwin
173,385,2017-07-07T18:08:01.771442,ADWIN,0.00019093990166595064,0.00025826446280991736,True,error increased,1,gnn_ewc_replay,adwin
175,388,2017-07-07T18:12:20.353225,ADWIN,0.0017363264293687214,0.003700657894736842,False,refractory period,1,gnn_ewc_replay,adwin
177,391,2017-07-07T18:23:24.585570,ADWIN,0.0012738853503184713,0.0,False,error decreased,1,gnn_ewc_replay,adwin
181,396,2017-07-07T18:51:29.702413,ADWIN,0.0013021681099029884,0.328125,True,error increased,12,gnn_ewc_replay,adwin
182,398,2017-07-07T18:58:02.196043,ADWIN,0.3858267716535433,0.2375,False,error decreased,1,gnn_ewc_replay,adwin
194,415,2017-07-07T19:13:13.980423,ADWIN,0.0008265645117705965,0.000687757909215956,False,error decreased,1,gnn_ewc_replay,adwin
