model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio,ewc_lambda,ewc_gamma
gnn_ewc_replay,none,1,DoS,0.9998089285714286,0.9994732260446636,2.3834019885517257e-05,0.9983191195725256,1.0,1.0,1.0,1.0,0.998228504298208,0.1506624944995844,243.0349404811859,2690,0.0107820760458707,10.0,0.9
gnn_ewc_replay,none,2,DDoS,0.9999653846153846,0.999898089817479,3.501058805056802e-05,0.9999692080305456,1.0,1.0,1.0,1.0,1.0,0.0,328.2641794681549,3380,0.0128426691517233,10.0,0.9
gnn_ewc_replay,none,3,WebAttack,0.9997114503816794,0.998953156901522,0.0002366883424806,0.999066044029353,1.0,1.0,0.9999714285714286,0.999560734290436,1.0,0.0,189.9667649269104,1890,0.021558403968811,10.0,0.9
gnn_ewc_replay,none,4,Infiltration,0.994483284457478,0.9758513791727316,0.0058486596276857,0.9998686749300442,1.0,1.0,0.9642914285714286,0.731050971504428,0.9922879177377892,0.0,265.18749237060547,2760,0.0212264750152826,10.0,0.9
gnn_ewc_replay,none,5,Botnet,0.994954617414248,0.9765293555805517,0.0053282448883005,0.99986437788197,1.0,1.0,0.9642685714285716,0.7309650786206017,0.9995279679018172,,132.6368100643158,1330,0.0242779217660427,10.0,0.9
ffnn_ewc_replay,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,67.35476040840149,6070,0.009999999776482582,10.0,0.9
ffnn_ewc_replay,none,1,DoS,0.9999821428571428,0.9999507970194551,0.0,0.9998230652181606,1.0,1.0,1.0,1.0,0.9998135267682324,0.0,295.46594190597534,13140,0.0109499366953969,10.0,0.9
ffnn_ewc_replay,none,2,DDoS,0.9999788461538461,0.9999377072250808,1.0609269106232734e-06,0.9997844562138194,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,314.41127586364746,16480,0.019854944199323654,10.0,0.9
ffnn_ewc_replay,none,3,WebAttack,0.9999526717557252,0.999828105940805,9.89637668908471e-06,0.9994868373787653,1.0,1.0,0.9999942857142857,0.9999120871132151,1.0,0.0006426735218508997,186.36954164505005,9240,0.018744168803095818,10.0,0.9
ffnn_ewc_replay,none,4,Infiltration,0.9989923753665689,0.995428610092312,0.001035486102506275,0.9994443939348021,1.0,1.0,0.9995428571428572,0.9930601578688374,0.9980719794344473,0.0009440641963653528,274.0976667404175,13460,0.01719364896416664,10.0,0.9
ffnn_ewc_replay,none,5,Botnet,0.9990538258575198,0.9954425758358174,0.0009711056987161313,0.999486573410315,1.0,1.0,0.9995942857142858,0.9938315807300292,1.0,,135.81314325332642,6460,0.019012195989489555,10.0,0.9
ffnn_naive,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,53.70734262466431,6070,,,
ffnn_naive,none,1,DoS,0.9947714285714285,0.9852545420514569,1.986168323793105e-06,0.9482111893556036,0.0,0.0,0.98348,0.495835602073124,0.9993286963656367,0.0,135.68570852279663,13140,,,
ffnn_naive,none,2,DDoS,0.9456740384615384,0.7812724026494906,0.0,0.42009483926591945,0.0,0.0,0.98348,0.495835602073124,1.0,0.8571428571428571,167.94523882865906,16480,,,
ffnn_naive,none,3,WebAttack,0.9256587786259542,0.48118885664172656,0.0,0.0004926361163852825,0.0,0.0,0.98348,0.495835602073124,1.0,0.0,90.16333079338074,9240,,,
ffnn_naive,none,4,Infiltration,0.9422656891495601,0.5004269786330127,0.0006226615168408148,0.015698396823953693,0.0,0.0,0.98308,0.495733908869032,0.9987146529562982,0.0,134.8630154132843,13460,,,
ffnn_naive,none,5,Botnet,0.9477720316622691,0.5262954092267295,8.929707574401208e-06,0.04138412058743752,0.0,0.0,0.9834685714285715,0.49583269712221306,1.0,,66.6598789691925,6460,,,
gnn_ewc,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856229138307196,43.9017276763916,1250,0.10000000149011612,100.0,0.9
gnn_ewc,none,1,DoS,0.9998089285714286,0.999473209481795,1.9861683237931047e-05,0.9982837326161577,1.0,1.0,0.9999942857142857,0.9999120871132151,0.9981912096518545,0.0,152.27919030189514,2690,0.12255885452032089,100.0,0.9
gnn_ewc,none,2,DDoS,0.999714423076923,0.9991581136715284,1.909668439121892e-05,0.9971363468407439,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,202.59561228752136,3380,0.21030297875404358,100.0,0.9
gnn_ewc,none,3,WebAttack,0.999445038167939,0.997979165378645,5.7728864019660804e-05,0.9932570431569765,1.0,1.0,0.9999942857142857,0.9999120871132151,1.0,0.0,108.71211314201355,1890,0.2022632360458374,100.0,0.9
gnn_ewc,none,4,Infiltration,0.9374739002932552,0.4984900322730484,0.005743429831339675,0.016243900960693395,0.0,0.0,0.9477828571428571,0.48659574842604925,0.9903598971722365,0.0,148.78433775901794,2760,0.19780626893043518,100.0,0.9
gnn_ewc,none,5,Botnet,0.9485287598944591,0.5392963242992859,2.064994876580279e-05,0.05547913356841167,0.0,0.0,0.9834514285714285,0.49582833963307826,1.0,,83.81499242782593,1330,0.27802562713623047,100.0,0.9
gnn_replay,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856229138307196,58.34300994873047,1250,,,
gnn_replay,none,1,DoS,0.9999821428571428,0.9999508024292467,1.3903178266551733e-05,0.9999469195654481,1.0,1.0,1.0,1.0,0.9999440580304697,0.5465946315943871,223.83119916915894,2690,,,
gnn_replay,none,2,DDoS,0.9999875,0.9999631945287153,8.487415284986187e-06,0.9999486800509094,1.0,1.0,1.0,1.0,1.0,0.0,239.6683304309845,3380,,,
gnn_replay,none,3,WebAttack,0.999824427480916,0.9993625872342917,0.00011463302998189788,0.999066044029353,1.0,1.0,0.9999942857142857,0.9999120871132151,1.0,0.0,127.36431813240051,1890,,,
gnn_replay,none,4,Infiltration,0.9945008797653959,0.9759064477119577,0.005776430891732238,0.9989999090826439,1.0,1.0,0.9642857142857143,0.7310294933185164,0.9955012853470437,0.43308945008260563,188.6481738090515,2760,,,
gnn_replay,none,5,Botnet,0.9950786279683377,0.9770650314671363,0.005147418309918896,0.9990022087030651,1.0,1.0,0.9643085714285714,0.731115425933573,0.9995279679018173,,89.65619015693665,1330,,,
