model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps
ffnn_naive,none,3,Infiltration,0.00018796721856552555,0.00010539435363085149,0.006461758188372529,,,,0.00023219734639418426,0.0015569183812535509,0.0,0.0,0.0,0.00035484135530566363,0.0007002768772780835,0.324484454860821,0.0
ffnn_naive,none,4,Botnet,7.866206357408379e-06,0.0,0.0,,,,9.285716380211738e-06,0.0026688415194129744,0.0,0.0,0.0,4.1625230291968665e-06,1.050312423193951e-06,0.2854149517276116,0.0
ffnn_naive,none,5,PortScan,0.00010209467981588898,0.00013804187192429258,0.05100166603632892,,,,2.1108767179473305e-05,0.08418330584871304,0.0,0.0,0.0,1.50081902168601e-05,3.786999606949165e-06,1.0428504461060912,0.0
ffnn_naive,none,6,DDoS,0.022757168392038143,0.0,0.18988021995424076,,,,0.0002539382943787685,0.024200930262394667,,0.0,0.0,4.907542274484219e-05,1.2384111106856688e-05,0.17522811883793082,0.0
gnn_replay,none,0,BruteForce,8.325046058281559e-06,0.0,0.0,,,,8.402588656687077e-06,0.00022710052391382415,0.0,0.0,0.0,8.325046058281559e-06,0.00022710052391382415,1.9572760682026757,0.0
gnn_replay,none,1,DoS,0.00013503666882791983,0.0008938541842453372,0.0008279776636622393,,,,1.577182485018662e-05,0.008916481276560483,0.0,0.0,0.0,0.0,0.0,5.627815656288868,0.0
gnn_replay,none,2,WebAttack,0.0008503573800958592,0.0,0.009703471375737458,,,,0.0005415950016158641,0.06348361564181851,0.0,0.0,0.0,4.16252302927699e-06,0.00011368203485217666,1.6146200002106812,0.0
gnn_replay,none,3,Infiltration,0.00028043167093537094,0.00030016325071904925,0.0004675705718300135,,,,0.00024562641346727933,0.02177708487918097,0.0,0.0,0.0,8.039167271640916e-05,0.00013263970817307141,2.8283121550142383,0.0
gnn_replay,none,4,Botnet,0.014650597738381317,0.023726723391354513,0.09634816674453435,,,,0.00023111478222043676,0.009155294398905929,0.0,0.0,0.0,9.788569188835241e-05,0.00011784531923544038,2.203592365983624,0.0
gnn_replay,none,5,PortScan,0.007085417464913547,1.972026741780988e-05,0.03762528865975049,,,,0.000319844249829957,0.023242973552819117,0.0,0.0,0.0,7.595891733972926e-05,0.00012885152922274267,5.160528394985037,0.0
gnn_replay,none,6,DDoS,0.005777030212647865,0.0,0.00632545016398054,,,,0.0004966633711810792,0.015705584930485964,,0.0,0.0,7.002447589957946e-05,0.000129553447861334,1.466076779296294,0.0
gnn_joint,none,0,BruteForce,8.325046058281559e-06,0.0,0.0,,,,8.402588656687077e-06,0.00022710052391382415,0.0,0.0,0.0,8.325046058281559e-06,0.00022710052391382415,2.0449779071691534,0.0
gnn_joint,none,1,DoS,0.0002439539402524885,0.000867716346288965,0.0008358790211944515,,,,0.0003286302181681825,0.006915231617409855,0.0,0.0,0.0,0.0,0.0,3.7828542817200637,0.0
gnn_joint,none,2,WebAttack,1.3317625896995875e-05,0.0,3.307649780510416e-05,,,,1.0999560642083406e-05,0.009299414073132653,0.0,0.0,0.0,0.0,0.0,3.660264037312646,0.0
gnn_joint,none,3,Infiltration,2.107666001081654e-05,7.026290242050891e-05,2.9750803047167956e-05,,,,2.2094672413815917e-05,0.006564397732726547,0.0,0.0,0.0,4.16252302927699e-06,0.00011368203485217666,3.5804870349542326,0.0
gnn_joint,none,4,Botnet,6.138905670356452e-05,0.1423603403481269,0.00019674414954189942,,,,6.880506680676975e-05,0.022255631744887126,0.0,0.0,0.0,4.16252302927699e-06,0.00011368203485217666,4.9451022297339104,0.0
gnn_joint,none,5,PortScan,0.0020745593858967045,1.9720267417769817e-05,0.01081409767661464,,,,0.00024009503100972879,0.007098345276277647,0.0,0.0,0.0,4.16252302927699e-06,0.0001131605232686524,9.414723692362745,0.0
