stream_index,window_id,ts,detector,prev_error,new_error,triggered_retrain,reason,n_detections,model,policy
839,1375,2018-02-28T14:59:33.053335,ADWIN,0.00636504386719422,0.04513888888888889,False,refractory period,2,gnn_naive,adwin
849,1390,2018-02-28T15:35:21.561176,ADWIN,0.003507122004741472,0.003010642270351008,False,error decreased,1,gnn_naive,adwin
856,1400,2018-02-28T16:02:09.587239,ADWIN,0.0007405432625373974,0.002225783475783476,True,error increased,1,gnn_naive,adwin
860,1405,2018-02-28T16:18:06.285557,ADWIN,0.0012147313787201149,0.0004357569721115538,False,error decreased,1,gnn_naive,adwin
883,1438,2018-02-28T18:03:36.768014,ADWIN,0.0003950409749947468,0.00047559391239792133,True,error increased,1,gnn_naive,adwin
902,1465,2018-02-28T19:17:01.744068,ADWIN,0.00024242157111216406,5.378657487091222e-05,False,error decreased,1,gnn_naive,adwin
967,1558,2018-03-01T14:21:34.089448,ADWIN,0.00018070720837991394,0.225,True,error increased,2,gnn_naive,adwin
968,1560,2018-03-01T14:26:14.929685,ADWIN,0.005600722673893405,0.002216312056737589,False,error decreased,1,gnn_naive,adwin
1026,1643,2018-03-01T18:24:44.573248,ADWIN,0.00019595776938177042,0.0006079766536964981,True,error increased,1,gnn_naive,adwin
1056,1685,2018-03-01T20:20:21.832141,ADWIN,0.0004097954327638058,0.0005190122377622378,True,error increased,1,gnn_naive,adwin
1074,1711,2018-03-02T12:52:36.584883,ADWIN,0.00016126245464493464,0.0001987732848705134,True,error increased,1,gnn_naive,adwin
1096,1742,2018-03-02T14:17:07.610670,ADWIN,0.00014992644233922733,0.0001672749391727494,True,error increased,1,gnn_naive,adwin
1101,1749,2018-03-02T14:36:55.869038,ADWIN,0.0011988970147464332,0.000621177370030581,False,error decreased,1,gnn_naive,adwin
1115,1769,2018-03-02T15:26:34.607640,ADWIN,0.0003258205720275956,0.00047809457579972185,True,error increased,1,gnn_naive,adwin
1117,1772,2018-03-02T15:33:23.996093,ADWIN,0.002328288707799767,0.0007675438596491228,False,error decreased,1,gnn_naive,adwin
1126,1785,2018-03-02T16:09:49.796878,ADWIN,0.00019975585395627568,0.000244140625,True,error increased,1,gnn_naive,adwin
1130,1791,2018-03-02T16:29:31.469714,ADWIN,0.0008068420203324189,0.00012088974854932302,False,error decreased,1,gnn_naive,adwin
1181,1864,2018-03-02T19:53:10.527917,ADWIN,3.1281403596579376e-05,0.0006648936170212766,True,error increased,1,gnn_naive,adwin
13,197,2018-02-15T13:25:01.053176,ADWIN,5.6340496923182865e-05,0.00703125,True,error increased,2,ffnn_ewc_replay,adwin
