model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps,n_seeds
ffnn_naive,none,0,BruteForce,0.999980774129669,1.0,1.0,,,,1.9404947291311923e-05,0.9994750769744213,0.0,1.0,1.0,0.999980774129669,0.9994750769744213,39.67682902018229,4740.0,3
ffnn_naive,none,1,DoS,0.9945287429514624,0.9997917038624055,0.9631084102505302,,,,9.322133689207338e-05,0.9888707403966838,0.0,0.0,0.0,0.9907090981624874,0.49766643403365235,31.64827315012614,3390.0,3
ffnn_naive,none,2,WebAttack,0.8727123798833532,0.9444444444444445,0.03922467296858583,,,,0.00011072648227788104,0.5031502548317653,0.0,0.15338541666666666,0.15338541666666666,0.9920861511249538,0.6044158357841989,5.848878622055054,850.0,3
ffnn_naive,none,3,Infiltration,0.8896519404906135,0.9984179140805646,0.3382673730133998,,,,0.00034452656092546667,0.7213766516701416,0.0,0.4221354166666667,0.4221354166666667,0.9944413202405157,0.7882093320722886,11.740931113560995,1670.0,3
ffnn_naive,none,4,Botnet,0.8473388356365309,1.0,0.0014716274124640333,,,,1.8718244790186022e-05,0.46014002407707993,0.0,0.0,0.0,0.9907667757734808,0.49768098795845916,7.028680404027303,980.0,3
ffnn_naive,none,5,PortScan,0.9124717213840849,0.9994648814199998,0.5761394899249015,,,,0.00016309887869516665,0.839258922137247,0.4587902582848203,0.0026041666666666665,0.0026041666666666665,0.990769179007272,0.5002555410902235,12.052785158157349,1820.0,3
ffnn_naive,none,6,DDoS,0.8928842495628615,1.0,0.568247887762146,,,,0.0006060780054291667,0.8279984251241707,,0.0026041666666666665,0.0026041666666666665,0.9906418076163286,0.5001997799458923,6.8608622550964355,970.0,3
gnn_replay,none,0,BruteForce,0.9999903870648345,1.0,1.0,,,,9.70247364565596e-06,0.999737310190303,0.0,1.0,1.0,0.9999903870648345,0.999737310190303,494.76841735839844,970.0,3
gnn_replay,none,1,DoS,0.9987781138546529,0.9943065722390841,0.9945154694337748,,,,0.0004922740772722701,0.9975477071141544,1.0,1.0,1.0,0.9999903870648345,0.999737310190303,38.674580812454224,700.0,3
gnn_replay,none,2,WebAttack,0.9974516689293219,1.0,0.9848849422324073,,,,0.0006308495635045293,0.9944257407585516,0.0,1.0,1.0,0.9996827731395367,0.9917291950408719,10.809455474217733,180.0,3
gnn_replay,none,3,Infiltration,0.9974873286643214,0.9717050018254837,0.9895216578373325,,,,0.0009234866087965333,0.995448419288416,0.0,1.0,1.0,0.9999759676620861,0.9993440108685162,18.387654145558674,340.0,3
gnn_replay,none,4,Botnet,0.9985956837840623,0.8904109589041096,0.9981718108796702,,,,0.0013278254898037665,0.9972959383810222,0.9999772289965957,1.0,1.0,0.9995626114499672,0.9884435340430587,10.148602883021036,200.0,3
gnn_replay,none,5,PortScan,0.9990434672990175,0.9999772289965957,0.9988309746284316,,,,0.0009013359085787333,0.9985402418365065,0.6686523158385608,1.0,1.0,0.9999783708958775,0.9994093413206184,18.85454853375753,380.0,3
gnn_replay,none,6,DDoS,0.99931226741989,1.0,0.9997439711692091,,,,0.0008293699021661667,0.9990764873302117,,1.0,1.0,0.9999831773634603,0.9995405592882644,10.25302521387736,200.0,3
gnn_joint,none,0,BruteForce,0.9999903870648345,1.0,1.0,,,,9.70247364565596e-06,0.999737310190303,0.0,1.0,1.0,0.9999903870648345,0.999737310190303,20.077840566635132,970.0,3
gnn_joint,none,1,DoS,0.9986259017519753,0.9932353349600268,0.99348353685337,,,,0.0004939095393230139,0.9972332503139016,1.0,1.0,1.0,0.999992790298626,0.999802944543727,36.60748664538066,1670.0,3
gnn_joint,none,2,WebAttack,0.9990709209638151,0.9444444444444445,0.9959992361310036,,,,0.0004603890578924327,0.9979740508016456,0.0,1.0,1.0,0.999992790298626,0.999802944543727,43.91147526105245,1850.0,3
