model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio,ewc_lambda,ewc_gamma,seed
xgboost_static,none,3,Infiltration,0.8378695311335851,0.4804158237798312,3.108510324139914e-05,0.0253583670925521,1.0,1.0,0.999992790298626,0.999802944543727,0.001338688085676,0.0,0.0,0,,,,43
xgboost_static,none,4,Botnet,0.8509769759531908,0.4842689141583958,2.807736718527904e-05,0.0253223641986113,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,,43
xgboost_static,none,5,PortScan,0.797106893168159,0.4592173643604367,2.897151134717528e-05,0.0161350286266636,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,,43
xgboost_static,none,6,DDoS,0.7560670983609707,0.4427969432709528,2.870895815190867e-05,0.0126588432034068,1.0,1.0,0.999992790298626,0.999802944543727,0.0,,0.0,0,,,,43
gnn_naive,none,0,BruteForce,0.9999855805972516,0.9996060414834552,1.455371046848394e-05,1.0,1.0,1.0,0.9999855805972516,0.9996060414834552,1.0,0.0,12.423512935638428,970,,,,43
gnn_naive,none,1,DoS,0.9993757907348912,0.9987515933464916,0.0007163323782234,0.9999140056182996,1.0,1.0,0.999992790298626,0.999802944543727,0.9999107302267451,1.0,8.03378176689148,700,,,,43
gnn_naive,none,2,WebAttack,0.9941449059923702,0.9870166835956332,6.99325151229064e-05,0.9562303065024348,0.715625,0.715625,0.9973756686998024,0.9164607220879176,1.0,0.0,1.7925841808319092,180,,,,43
gnn_naive,none,3,Infiltration,0.9631683630167605,0.9283378208473354,0.0042120314892095,0.7996650046743534,0.26796875,0.26796875,0.9932373001110294,0.7095062656140202,0.9992089570402825,0.0,3.701927900314331,340,,,,43
gnn_naive,none,4,Botnet,0.8467134838141902,0.4619784723277254,0.0011301140292074,0.0035396853180854,0.0,0.0,0.9907571628383152,0.4976785623746025,0.6575342465753424,0.0,1.92871642112732,200,,,,43
gnn_naive,none,5,PortScan,0.9388364201316488,0.8960920602925542,0.0046547561564461,0.7212927850893499,0.27265625,0.27265625,0.9926965725079668,0.7021370955775368,1.0,0.0,4.717588186264038,380,,,,43
gnn_naive,none,6,DDoS,0.9579794592932768,0.9404047045642844,0.0032504920396438,0.8398102145780871,1.0,1.0,0.9999855805972516,0.9996060414834552,1.0,,2.3277087211608887,200,,,,43
gnn_ewc_replay,none,0,BruteForce,0.9999855805972516,0.9996060414834552,1.455371046848394e-05,1.0,1.0,1.0,0.9999855805972516,0.9996060414834552,1.0,0.0,10.638643980026243,970,0.0099999997764825,,,43
gnn_ewc_replay,none,1,DoS,0.9993632227631104,0.9987265029107656,0.0007310515366801,0.9999140056182996,1.0,1.0,0.999992790298626,0.999802944543727,0.9999107302267451,1.0,25.10531044006348,700,0.0157114546746015,,,43
gnn_ewc_replay,none,2,WebAttack,0.999067128804484,0.997975417810882,0.0010621000734291,0.9999140647378976,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,7.231935024261475,180,0.0147883724421262,,,43
gnn_ewc_replay,none,3,Infiltration,0.9983608787762956,0.9970540077432068,0.0017718508847597,0.9990261763789342,1.0,1.0,0.9999855805972516,0.9996060414834552,0.9972009249117684,0.0,13.54698920249939,340,0.0219956338405609,,,43
gnn_ewc_replay,none,4,Botnet,0.998775063625336,0.9976427833629432,0.0014249263846529,0.9998833070774258,1.0,1.0,0.9997188216464074,0.9924261548671413,0.9863013698630136,0.9999658434948936,9.21229600906372,200,0.0200518928468227,,,43
gnn_ewc_replay,none,5,PortScan,0.998300727748477,0.9974076810842556,0.0014904233059713,0.9974967159887972,1.0,1.0,0.9999855805972516,0.9996060414834552,0.9999658434948936,0.0025271898551378,25.850741147994995,380,0.0255937334150075,,,43
gnn_ewc_replay,none,6,DDoS,0.9994523759199124,0.9992643527180642,0.0006060780054291,0.9996305406745548,1.0,1.0,0.999992790298626,0.999802944543727,1.0,,13.893953561782835,200,0.0268766246736049,,,43
ffnn_ewc_replay,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,27.6188223361969,4740,0.0099999997764825,,,43
ffnn_ewc_replay,none,1,DoS,0.999912024197535,0.9998237785175,8.34085645876673e-05,0.9998853408243996,1.0,1.0,0.999956741791755,0.9988199496386384,0.9998809736356604,0.0,31.55086898803711,3390,0.010000011883676,,,43
ffnn_ewc_replay,none,2,WebAttack,0.9996966272534908,0.9993397467161822,0.0001923144165879,0.9989687768547694,1.0,1.0,0.9998125477642716,0.9949256271338842,0.9583333333333334,0.0007301935012778,10.271397590637209,850,0.0124534172937273,,,43
ffnn_ewc_replay,none,3,Infiltration,0.9994331102487188,0.9989781227400318,0.0003924494284226,0.9985587410408228,1.0,1.0,0.9997044022436592,0.9920438170993676,0.9972009249117684,0.0,14.9862380027771,1670,0.0129531929269433,,,43
ffnn_ewc_replay,none,4,Botnet,0.9991021097447852,0.998268289598721,0.0007405405595117,0.9982301573409572,1.0,1.0,0.999228561952964,0.9797452758102112,1.0,0.9911876216825496,8.734843969345093,980,0.0123408865183591,,,43
ffnn_ewc_replay,none,5,PortScan,0.9991925262684492,0.9987668005200896,0.0005408015451472,0.9981659107244653,1.0,1.0,0.9995169500079308,0.9871258941460144,0.9991802438774464,0.9850625028205244,17.756027460098267,1820,0.0201919618993997,,,43
ffnn_ewc_replay,none,6,DDoS,0.9994043387199046,0.9991995035556868,0.000443393909235,0.9989402350928024,1.0,1.0,0.99965393433404,0.99071020849644,1.0,,9.875904321670532,970,0.0243760552257299,,,43
ffnn_naive,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,23.327080965042114,4740,,,,43
ffnn_naive,none,1,DoS,0.9944826603882664,0.9887763224707088,0.0001079404953487,0.9628790918993292,0.0,0.0,0.9906850658245736,0.4976603697050472,0.999553651133726,0.0,14.375076532363892,3390,,,,43
ffnn_naive,none,2,WebAttack,0.8721738932582992,0.4993395093821924,6.11909507325431e-05,0.0348324262389,0.0,0.0,0.9907211143314444,0.4976694662045437,0.9166666666666666,0.0,3.5718843936920166,850,,,,43
ffnn_naive,none,3,Infiltration,0.8893917111000252,0.7206231982864064,0.0004390770832847,0.3371766905578062,0.39453125,0.39453125,0.9940952545745556,0.7746211785318704,0.9983570646221248,0.0,7.429427623748779,1670,,,,43
ffnn_naive,none,4,Botnet,0.8473348714411436,0.4602413619544924,4.211605077791855e-05,0.0015753544547523,0.0,0.0,0.9907571628383152,0.4976785623746025,1.0,0.0,4.808444976806641,980,,,,43
ffnn_naive,none,5,PortScan,0.9135645365714052,0.8417089803152884,0.0001802671817157,0.5815054403053511,0.0,0.0,0.9907571628383152,0.4976785623746025,0.9995218089285104,0.728868631255923,8.409088611602783,1820,,,,43
ffnn_naive,none,6,DDoS,0.8889740214822358,0.8209623327813573,0.0004051152983658,0.5518069477798412,0.0,0.0,0.9906273882135802,0.4976458146205778,1.0,,7.1040120124816895,970,,,,43
gnn_replay,none,0,BruteForce,0.9999855805972516,0.9996060414834552,1.455371046848394e-05,1.0,1.0,1.0,0.9999855805972516,0.9996060414834552,1.0,0.0,1429.9954636096954,970,,,,43
gnn_replay,none,1,DoS,0.999162135214619,0.9983232729711604,0.0007163323782234,0.9984521011293928,1.0,1.0,0.999992790298626,0.999802944543727,0.998393144081414,1.0,33.105236291885376,700,,,,43
