model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps
gnn_naive,none,6,DDoS,0.016056254695619106,0.0,0.06578632069752438,,,,0.0002597553114639838,0.02319191617913772,,0.4221881071886825,0.4221881071886825,0.0038940419623414253,0.16743215172301315,0.912336921146062,0.0
gnn_ewc_replay,none,0,BruteForce,4.162523029252953e-06,0.0,0.0,,,0.0,4.2012943283435384e-06,0.00011368203485215262,0.0,0.0,0.0,4.162523029252953e-06,0.00011368203485215262,4.720057949736655,0.0
gnn_ewc_replay,none,1,DoS,8.58896549654346e-05,0.0006528390831758147,0.0006288858060311515,,,0.0013431807065749028,7.4946286437677134e-06,0.00017220661722624846,0.0,0.0,0.0,4.16252302927699e-06,0.00011368203485217666,6.201256623730482,0.0
gnn_ewc_replay,none,2,WebAttack,2.467333239284531e-05,0.0,0.0012223768715756277,,,0.0025140399670431058,0.0001869414423854655,5.365274246711838e-05,0.0,0.0,0.0,4.16252302927699e-06,0.00011368203485217666,1.1331525671736886,0.0
gnn_ewc_replay,none,3,Infiltration,0.00040397857674000063,0.0014641851546204618,0.0004686510367526491,,,0.002903504363431295,0.0005597521810063958,0.0007239618551707205,0.0,0.0,0.0,4.162523029252953e-06,0.00011368203485215262,3.0481166179185704,0.0
gnn_ewc_replay,none,4,Botnet,0.00025229736845110894,0.04745344678270893,0.000151900143452755,,,0.003617649978576347,0.00031961137483269724,0.00048442249285609126,0.0,0.0,0.0,7.941587788622607e-05,0.002124183876127222,1.2512924143192532,0.0
gnn_ewc_replay,none,5,PortScan,0.0006289889142141726,0.0,0.0013813787796163038,,,0.0035149840443460547,0.00043397613915056285,0.0009594542462607265,0.5758911954464687,0.0,0.0,1.8144017234238777e-05,0.0004943509837027789,2.593957607744772,0.0
gnn_ewc_replay,none,6,DDoS,2.3696188067071053e-05,0.0,0.00016044767833050185,,,0.005417800008276773,2.23291896737e-05,3.188230128711415e-05,,0.0,0.0,8.325046058313609e-06,0.00022727618682878275,1.9172363950806786,0.0
ffnn_ewc_replay,none,0,BruteForce,1.5008190216931212e-05,0.0,0.0,,,0.0,1.5147982124158671e-05,0.00040937496365947443,0.0,0.0,0.0,1.5008190216931212e-05,0.00040937496365947443,2.015117958971472,0.0
ffnn_ewc_replay,none,1,DoS,4.939140066936153e-05,0.00029954311473247,0.00028855259742295044,,,6.9900914260623165e-09,1.9828923560109998e-05,9.896938961171215e-05,0.0,0.0,0.0,1.907507686318661e-05,0.0005180906536060857,8.969389635902347,0.0
