model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio,ewc_lambda,ewc_gamma
gnn_naive,none,5,Botnet,0.9430026385224276,0.2803158452711912,0.0050363550719622,0.0418587980005424,0.0,0.0,0.9478285714285716,0.4866077976941356,1.0,,44.6391658782959,1330,,,
gnn_ewc_replay,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,46.36388301849365,1250,0.009999999776482582,10.0,0.9
gnn_ewc_replay,none,1,DoS,0.9998178571428571,0.9996489791386965,1.588934659034484e-05,0.9983368130507095,1.0,1.0,1.0,1.0,0.9982471516213848,0.0,199.56258535385132,2690,0.018843237310647964,10.0,0.9
gnn_ewc_replay,none,2,DDoS,0.9999461538461538,0.9998551479363496,1.59139036593491e-05,0.999579176417457,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,341.578866481781,3380,0.018944893032312393,10.0,0.9
gnn_ewc_replay,none,3,WebAttack,0.9988908396946565,0.876382710887345,3.711141258406766e-05,0.9855493405860317,1.0,1.0,1.0,1.0,1.0,0.0,190.91069722175598,1890,0.01937701553106308,10.0,0.9
gnn_ewc_replay,none,4,Infiltration,0.9944844574780058,0.8028677408416584,0.005790752106619577,0.9989493994403532,1.0,1.0,0.9642857142857143,0.9907535624674526,0.9922879177377892,0.0,274.70492219924927,2760,0.02454928308725357,10.0,0.9
gnn_ewc_replay,none,5,Botnet,0.9950622691292876,0.8546467054534163,0.005145185883025295,0.9987212771728601,1.0,1.0,0.9643028571428571,0.9907580827940858,0.9995279679018173,,131.25449061393738,1330,0.03111891634762287,10.0,0.9
ffnn_ewc_replay,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,63.93665909767151,6070,0.009999999776482582,10.0,0.9
ffnn_ewc_replay,none,1,DoS,0.9999625,0.9999277725507167,3.97233664758621e-06,0.9996638239145051,1.0,1.0,0.9999942857142857,0.9999985474279307,0.9996457008596416,0.0,21918.796327352524,13140,0.013606859371066093,10.0,0.9
ffnn_ewc_replay,none,2,DDoS,0.9999538461538462,0.9999042040394519,2.1218538212465468e-06,0.9995278564683664,1.0,1.0,0.9999942857142857,0.9999985474279307,1.0,0.7142857142857143,1986.6794271469116,16480,0.01690399833023548,10.0,0.9
