stream_index,window_id,ts,detector,prev_error,new_error,triggered_retrain,reason,n_detections,model,policy
105,288,2017-07-06T18:18:04.892579,ADWIN,0.005886760141282243,0.01953125,False,refractory period,1,ffnn_ewc_replay,adwin
106,290,2017-07-06T18:20:34.510755,ADWIN,0.0036066362106275548,0.016826923076923076,False,refractory period,2,ffnn_ewc_replay,adwin
107,291,2017-07-06T18:22:53.483056,ADWIN,0.008226390259953932,0.07589285714285714,True,error increased,2,ffnn_ewc_replay,adwin
108,293,2017-07-06T18:27:47.326584,ADWIN,0.007985398129135296,0.006456611570247934,False,error decreased,1,ffnn_ewc_replay,adwin
113,300,2017-07-06T18:40:30.610036,ADWIN,0.0018800326345287503,0.015,True,error increased,1,ffnn_ewc_replay,adwin
128,321,2017-07-07T13:06:05.779821,ADWIN,0.0014017343026371844,0.0015330773042616453,True,error increased,1,ffnn_ewc_replay,adwin
129,322,2017-07-07T13:10:50.455475,ADWIN,0.005293005671077505,0.0022078804347826085,False,error decreased,1,ffnn_ewc_replay,adwin
133,328,2017-07-07T13:36:33.599736,ADWIN,0.002106847253574116,0.008643617021276596,True,error increased,1,ffnn_ewc_replay,adwin
135,331,2017-07-07T14:03:11.120403,ADWIN,0.0035991665088084867,0.007601351351351352,False,refractory period,4,ffnn_ewc_replay,adwin
136,332,2017-07-07T14:10:48.127689,ADWIN,0.020239190432382703,0.0390625,False,refractory period,3,ffnn_ewc_replay,adwin
137,333,2017-07-07T14:17:34.746882,ADWIN,0.00911854103343465,0.09375,False,refractory period,3,ffnn_ewc_replay,adwin
138,335,2017-07-07T14:29:28.037485,ADWIN,0.013931362555215767,0.0546875,True,error increased,4,ffnn_ewc_replay,adwin
146,347,2017-07-07T16:50:49.419521,ADWIN,0.0008503627328532328,0.15178571428571427,True,error increased,4,ffnn_ewc_replay,adwin
148,350,2017-07-07T17:13:57.348088,ADWIN,0.0037506697624575818,0.006648936170212766,False,refractory period,2,ffnn_ewc_replay,adwin
151,354,2017-07-07T17:45:17.899612,ADWIN,0.0018539117538005192,0.125,True,error increased,1,ffnn_ewc_replay,adwin
152,355,2017-07-07T17:51:45.466435,ADWIN,0.5911949685534591,0.4642857142857143,False,error decreased,1,ffnn_ewc_replay,adwin
160,367,2017-07-07T17:54:15.198356,ADWIN,0.12569890726863558,0.12517186067827682,False,error decreased,1,ffnn_ewc_replay,adwin
172,384,2017-07-07T18:00:43.250620,ADWIN,0.004334930412959161,0.04261363636363636,True,error increased,2,ffnn_ewc_replay,adwin
173,385,2017-07-07T18:08:01.771442,ADWIN,0.07742998352553541,0.06801470588235294,False,error decreased,1,ffnn_ewc_replay,adwin
175,388,2017-07-07T18:12:20.353225,ADWIN,0.0027217268887846082,0.003324468085106383,False,refractory period,1,ffnn_ewc_replay,adwin
181,396,2017-07-07T18:51:29.702413,ADWIN,0.002321724709784411,0.328125,True,error increased,12,ffnn_ewc_replay,adwin
182,398,2017-07-07T18:58:02.196043,ADWIN,0.3858267716535433,0.2375,False,error decreased,1,ffnn_ewc_replay,adwin
196,418,2017-07-07T19:15:38.304116,ADWIN,0.00035511848664891076,0.07291666666666667,True,error increased,1,ffnn_ewc_replay,adwin
